@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.299858442458
@ Q2 %le 0.33142165071
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds.liny"
*            NAME                 S             COUNT                 Y              STDY              YMDL            MUYMDL
$              %s               %le               %le               %le               %le               %le               %le
    "BPM.28R2.B1"       1535.396513                 1  -0.0165816160955 1.48323969742e-08               0.0       3.778569141
    "BPM.29R2.B1"       1588.845029                 1    -0.17140099545 1.48323969742e-08               0.0       3.910657029
    "BPM.30R2.B1"       1642.293545                 1  -0.0325052766909 1.48323969742e-08               0.0        4.02153409
    "BPM.31R2.B1"        1695.74206                 1    0.169082644186 1.48323969742e-08               0.0       4.153613221
    "BPM.32R2.B1"       1749.190576                 1   -0.457513588236 1.48323969742e-08               0.0       4.264497834
    "BPM.33R2.B1"       1802.639092                 1    0.240431720702 1.48323969742e-08               0.0       4.396586489
    "BPM.34R2.B1"       1856.087608                 1  -0.0821014043121 1.48323969742e-08               0.0       4.507464282
    "BPM.33L3.B1"       1909.536124                 1    0.039610284968 1.48323969742e-08               0.0       4.639542719
    "BPM.32L3.B1"        1962.98464                 1    0.317248325727 1.48323969742e-08               0.0       4.750426547
    "BPM.31L3.B1"       2016.433156                 1   -0.557606553975 1.48323969742e-08               0.0       4.882515816
    "BPM.30L3.B1"       2069.881672                 1   -0.103230402474 1.48323969742e-08               0.0       4.993394442
    "BPM.29L3.B1"       2123.330188                 1   0.0132249848485 1.48323969742e-08               0.0        5.12547235
    "BPM.27L3.B1"        2230.22722                 1   0.0753865675909 1.48323969742e-08               0.0       5.368445013
    "BPM.26L3.B1"       2283.675735                 1  -0.0185025977515 1.48323969742e-08               0.0       5.479324546
    "BPM.25L3.B1"       2337.124251                 1    0.173068033921 1.48323969742e-08               0.0       5.611402107
    "BPM.24L3.B1"       2390.572767                 1     -0.2291102941 1.48323969742e-08               0.0       5.722284128
    "BPM.23L3.B1"       2444.021283                 1   -0.210287064206 1.48323969742e-08               0.0       5.854374089
    "BPM.22L3.B1"       2497.469799                 1      0.2761889683 1.48323969742e-08               0.0       5.965254575
    "BPM.21L3.B1"       2550.918315                 1  -0.0303344975864 1.48323969742e-08               0.0        6.09733198
    "BPM.20L3.B1"       2604.366831                 1   -0.297660755729 1.48323969742e-08               0.0       6.204947961
    "BPM.19L3.B1"       2657.815347                 1  0.00706385794242 1.48323969742e-08               0.0       6.332831672
    "BPM.18L3.B1"       2711.263863                 1    0.378626798989 1.48323969742e-08               0.0       6.443801585
    "BPM.17L3.B1"       2764.712379                 1   -0.016534409303 1.48323969742e-08               0.0        6.57640033
    "BPM.16L3.B1"       2818.160894                 1    0.168747639606 1.48323969742e-08               0.0       6.684541688
    "BPM.15L3.B1"        2871.60941                 1  -0.0831365853182 1.48323969742e-08               0.0        6.81201147
    "BPM.14L3.B1"       2925.057926                 1  -0.0391393721712 1.48323969742e-08               0.0       6.922383399
    "BPM.13L3.B1"       2978.506442                 1   -0.164552958015 1.48323969742e-08               0.0       7.055330313
    "BPM.12L3.B1"       3031.954958                 1    0.331881542477 1.48323969742e-08               0.0       7.169737579
    "BPM.11L3.B1"       3085.403474                 1   0.0357430253833 1.48323969742e-08               0.0       7.301795446
    "BPM.10L3.B1"       3138.184185                 1  -0.0131870993939 1.48323969742e-08               0.0       7.409621911
     "BPM.9L3.B1"       3177.249195                 1   0.0957491958091 1.48323969742e-08               0.0        7.52721441
     "BPM.8L3.B1"       3217.712206                 1    0.169134656606 1.48323969742e-08               0.0       7.693751159
     "BPM.7L3.B1"       3256.776216                 1    0.132451452841 1.48323969742e-08               0.0       7.866931697
     "BPM.6L3.B1"       3329.415216                 1   -0.910437836818 1.48323969742e-08               0.0       7.986287904
  "BPMWG.A5L3.B1"       3371.119716                 1     0.40754903455 1.48323969742e-08               0.0       8.033061368
    "BPMW.5L3.B1"       3400.089716                 1   -0.137847068936 1.48323969742e-08               0.0       8.048660806
   "BPMWE.4L3.B1"       3475.217716                 1  -0.0750129097424 1.48323969742e-08               0.0        8.12208579
    "BPMW.4L3.B1"       3502.762716                 1   -0.397201720773 1.48323969742e-08               0.0       8.167712979
    "BPMW.4R3.B1"       3547.727716                 1   -0.053029952997 1.48323969742e-08               0.0       8.202856154
   "BPMWE.4R3.B1"       3575.272716                 1   0.0551252140939 1.48323969742e-08               0.0       8.214145088
    "BPMW.5R3.B1"       3650.400716                 1    0.631131835864 1.48323969742e-08               0.0       8.287530793
  "BPMWJ.A5R3.B1"       3679.118716                 1    0.322892105682 1.48323969742e-08               0.0       8.350892092
   "BPMWC.6R3.B1"       3718.936716                 1    0.712472560174 1.48323969742e-08               0.0       8.395849882
    "BPMR.6R3.B1"       3731.015216                 1   -0.658423669742 1.48323969742e-08               0.0        8.40352483
   "BPM_A.7R3.B1"       3786.839216                 1  -0.0705004055697 1.48323969742e-08               0.0       8.475038195
     "BPM.8R3.B1"       3825.903227                 1    0.202220109138 1.48323969742e-08               0.0       8.537054472
     "BPM.9R3.B1"       3864.968238                 1    -0.35593632705 1.48323969742e-08               0.0       8.589817924
    "BPM.10R3.B1"       3905.431248                 1    0.445111202465 1.48323969742e-08               0.0       8.653033727
    "BPM.11R3.B1"       3958.211959                 1   -0.236367152953 1.48323969742e-08               0.0       8.754732451
    "BPM.12R3.B1"       4012.935475                 1  -0.0758513104045 1.48323969742e-08               0.0       8.876804075
    "BPM.13R3.B1"       4066.383991                 1   -0.172537159018 1.48323969742e-08               0.0       8.991775721
    "BPM.14R3.B1"       4119.832506                 1    0.208785574682 1.48323969742e-08               0.0       9.122466035
    "BPM.15R3.B1"       4173.281022                 1   -0.392653706559 1.48323969742e-08               0.0       9.229430697
    "BPM.17R3.B1"       4280.178054                 1    0.115804523121 1.48323969742e-08               0.0       9.470372048
    "BPM.18R3.B1"        4333.62657                 1    0.212070142605 1.48323969742e-08               0.0       9.601799865
    "BPM.19R3.B1"       4387.075086                 1   -0.379502588597 1.48323969742e-08               0.0       9.709017423
    "BPM.20R3.B1"       4440.523602                 1   -0.140609210748 1.48323969742e-08               0.0       9.837463804
    "BPM.21R3.B1"       4493.972118                 1    0.238991425808 1.48323969742e-08               0.0       9.948923651
    "BPM.22R3.B1"       4547.420634                 1   -0.191968090061 1.48323969742e-08               0.0       10.08100529
    "BPM.23R3.B1"        4600.86915                 1    0.441339959085 1.48323969742e-08               0.0       10.19188996
    "BPM.24R3.B1"       4654.317666                 1  -0.0907473245258 1.48323969742e-08               0.0       10.32397676
    "BPM.25R3.B1"       4707.766181                 1  -0.0478328182682 1.48323969742e-08               0.0       10.43485436
    "BPM.26R3.B1"       4761.214697                 1    0.374196985767 1.48323969742e-08               0.0       10.56693462
    "BPM.27R3.B1"       4814.663213                 1    0.039289235203 1.48323969742e-08               0.0       10.67781879
    "BPM.28R3.B1"       4868.111729                 1   0.0302601802818 1.48323969742e-08               0.0       10.80990626
    "BPM.29R3.B1"       4921.560245                 1   0.0597361725318 1.48323969742e-08               0.0       10.92078441
    "BPM.30R3.B1"       4975.008761                 1     0.02739071415 1.48323969742e-08               0.0       11.05286407
    "BPM.31R3.B1"       5028.457277                 1   -0.357014408755 1.48323969742e-08               0.0       11.16374763
    "BPM.32R3.B1"       5081.905793                 1    0.323975777776 1.48323969742e-08               0.0       11.29583566
    "BPM.33R3.B1"       5135.354309                 1   -0.498282522061 1.48323969742e-08               0.0       11.40671445
    "BPM.34R3.B1"       5188.802825                 1    0.239587937386 1.48323969742e-08               0.0       11.53879362
    "BPM.33L4.B1"        5242.25134                 1  -0.0619624748242 1.48323969742e-08               0.0       11.64967651
    "BPM.32L4.B1"       5295.699856                 1    0.257900700909 1.48323969742e-08               0.0       11.78176494
    "BPM.31L4.B1"       5349.148372                 1   -0.647533597879 1.48323969742e-08               0.0       11.89264445
    "BPM.30L4.B1"       5402.596888                 1  -0.0385770837091 1.48323969742e-08               0.0       12.02472328
    "BPM.29L4.B1"       5456.045404                 1    0.174723154055 1.48323969742e-08               0.0       12.13560542
    "BPM.28L4.B1"        5509.49392                 1   0.0916680640955 1.48323969742e-08               0.0       12.26769413
    "BPM.27L4.B1"       5562.942436                 1  -0.0710210711985 1.48323969742e-08               0.0       12.37857439
    "BPM.26L4.B1"       5616.390952                 1  -0.0288411581318 1.48323969742e-08               0.0       12.51065303
    "BPM.25L4.B1"       5669.839468                 1    0.327374015917 1.48323969742e-08               0.0        12.6215344
    "BPM.24L4.B1"       5723.287984                 1 -0.00841159711818 1.48323969742e-08               0.0       12.75362322
    "BPM.23L4.B1"         5776.7365                 1   0.0838019791667 1.48323969742e-08               0.0       12.86450427
    "BPM.22L4.B1"       5830.185015                 1   -0.153426096644 1.48323969742e-08               0.0       12.99658287
    "BPM.21L4.B1"       5883.633531                 1   -0.102107363776 1.48323969742e-08               0.0       13.10746346
    "BPM.20L4.B1"       5937.082047                 1    0.150441634264 1.48323969742e-08               0.0        13.2402561
    "BPM.19L4.B1"       5990.530563                 1  -0.0532224141697 1.48323969742e-08               0.0       13.34850102
    "BPM.17L4.B1"       6097.427595                 1   -0.187702267288 1.48323969742e-08               0.0       13.58604195
    "BPM.16L4.B1"       6150.876111                 1   0.0224010037803 1.48323969742e-08               0.0       13.71914686
    "BPM.15L4.B1"       6204.324627                 1    0.344889826433 1.48323969742e-08               0.0       13.82804602
    "BPM.14L4.B1"       6257.773143                 1   -0.161036737561 1.48323969742e-08               0.0       13.95515061
    "BPM.13L4.B1"       6311.221659                 1   -0.133719902024 1.48323969742e-08               0.0       14.06470084
    "BPM.12L4.B1"       6364.670174                 1   -0.157383042602 1.48323969742e-08               0.0       14.19746998
    "BPM.11L4.B1"        6418.11869                 1    0.587102856318 1.48323969742e-08               0.0       14.30258266
    "BPM.10L4.B1"       6469.957401                 1    0.162661585462 1.48323969742e-08               0.0         14.419632
     "BPM.9L4.B1"       6509.022412                 1   -0.228211025603 1.48323969742e-08               0.0       14.48026195
     "BPM.7L4.B1"       6588.549433                 1    0.567038825175 1.48323969742e-08               0.0       14.61796582
   "BPMYB.6L4.B1"       6685.153433                 1    0.255362640277 1.48323969742e-08               0.0        14.6956054
   "BPMYA.5L4.B1"       6722.153433                 1     0.42597050353 1.48323969742e-08               0.0       14.71069821
  "BPMWI.A5L4.B1"       6798.755933                 1    -1.97773181258 1.48323969742e-08               0.0       14.76688731
  "BPMWA.B5L4.B1"       6824.619933                 1  -0.0955518308091 1.48323969742e-08               0.0       14.78571677
  "BPMWA.A5L4.B1"       6833.504933                 1   -0.383173426139 1.48323969742e-08               0.0       14.79199225
  "BPMWA.A5R4.B1"       6881.553933                 1    -0.48359171297 1.48323969742e-08               0.0       14.82342859
  "BPMWA.B5R4.B1"       6890.438933                 1     -0.2958924771 1.48323969742e-08               0.0       14.82870702
   "BPMYB.5R4.B1"       6992.829433                 1    0.170925650159 1.48323969742e-08               0.0       14.87710599
   "BPMYA.6R4.B1"       7024.393433                 1    0.846817469439 1.48323969742e-08               0.0       14.89843142
     "BPM.7R4.B1"       7120.909433                 1   -0.214740109409 1.48323969742e-08               0.0       15.01762451
     "BPM.8R4.B1"       7158.698443                 1   -0.101152080742 1.48323969742e-08               0.0       15.14998494
     "BPM.9R4.B1"       7197.763454                 1   -0.577374161266 1.48323969742e-08               0.0       15.35269025
    "BPM.10R4.B1"       7238.226465                 1    0.268149333923 1.48323969742e-08               0.0       15.42406791
    "BPM.11R4.B1"       7290.065175                 1    0.033526136897 1.48323969742e-08               0.0       15.53198227
    "BPM.12R4.B1"       7344.788691                 1   0.0135687349439 1.48323969742e-08               0.0       15.64495876
    "BPM.13R4.B1"       7398.237207                 1 -0.00392049939091 1.48323969742e-08               0.0       15.77719422
    "BPM.14R4.B1"       7451.685723                 1    -0.15945703603 1.48323969742e-08               0.0       15.89102747
    "BPM.15R4.B1"       7505.134239                 1  -0.0546378947955 1.48323969742e-08               0.0       16.02716683
    "BPM.16R4.B1"       7558.582755                 1  -0.0699326625136 1.48323969742e-08               0.0       16.14099622
    "BPM.17R4.B1"       7612.031271                 1   0.0957328638955 1.48323969742e-08               0.0       16.27714552
    "BPM.18R4.B1"       7665.479786                 1   -0.197486790595 1.48323969742e-08               0.0        16.3909789
    "BPM.19R4.B1"       7718.928302                 1     0.24192673873 1.48323969742e-08               0.0       16.52711827
    "BPM.20R4.B1"       7772.376818                 1   -0.230884992014 1.48323969742e-08               0.0       16.64094765
    "BPM.21R4.B1"       7825.825334                 1  -0.0405833491939 1.48323969742e-08               0.0       16.77709695
    "BPM.22R4.B1"        7879.27385                 1    0.372523620538 1.48323969742e-08               0.0       16.89093033
    "BPM.23R4.B1"       7932.722366                 1   -0.151490716979 1.48323969742e-08               0.0       17.02707015
    "BPM.24R4.B1"       7986.170882                 1   -0.228824007242 1.48323969742e-08               0.0       17.14090488
    "BPM.25R4.B1"       8039.619398                 1   0.0558863129955 1.48323969742e-08               0.0       17.27706089
    "BPM.26R4.B1"       8093.067914                 1  -0.0240100506591 1.48323969742e-08               0.0       17.39089428
    "BPM.27R4.B1"        8146.51643                 1  -0.0515000783182 1.48323969742e-08               0.0       17.52703409
    "BPM.28R4.B1"       8199.964946                 1     0.46596072608 1.48323969742e-08               0.0       17.64086882
    "BPM.29R4.B1"       8253.413461                 1    0.218476406495 1.48323969742e-08               0.0       17.77702483
    "BPM.30R4.B1"       8306.861977                 1   -0.969414033485 1.48323969742e-08               0.0       17.89085822
    "BPM.31R4.B1"       8360.310493                 1   0.0723302925106 1.48323969742e-08               0.0       18.02699803
    "BPM.32R4.B1"       8413.759009                 1    0.180268467753 1.48323969742e-08               0.0       18.14083276
    "BPM.33R4.B1"       8467.207525                 1   -0.127338890076 1.48323969742e-08               0.0       18.27698877
    "BPM.34R4.B1"       8520.656041                 1    0.171401513762 1.48323969742e-08               0.0       18.39082217
    "BPM.33L5.B1"       8574.104557                 1   0.0227463093879 1.48323969742e-08               0.0       18.52696198
    "BPM.32L5.B1"       8627.553073                 1    0.169360701318 1.48323969742e-08               0.0        18.6407967
    "BPM.31L5.B1"       8681.001589                 1  -0.0371997655455 1.48323969742e-08               0.0       18.77695271
    "BPM.30L5.B1"       8734.450105                 1    0.072081160853 1.48323969742e-08               0.0       18.89078611
    "BPM.29L5.B1"        8787.89862                 1   -0.188719402002 1.48323969742e-08               0.0       19.02692592
    "BPM.28L5.B1"       8841.347136                 1    0.224479524029 1.48323969742e-08               0.0       19.14076064
    "BPM.27L5.B1"       8894.795652                 1  -0.0826463105379 1.48323969742e-08               0.0       19.27691665
    "BPM.26L5.B1"       8948.244168                 1    0.115857894567 1.48323969742e-08               0.0       19.39075006
    "BPM.25L5.B1"       9001.692684                 1    0.116180184124 1.48323969742e-08               0.0       19.52688987
    "BPM.24L5.B1"         9055.1412                 1   -0.101992094329 1.48323969742e-08               0.0       19.64072458
    "BPM.23L5.B1"       9108.589716                 1    0.201312552802 1.48323969742e-08               0.0       19.77688059
    "BPM.22L5.B1"       9162.038232                 1   -0.276928030838 1.48323969742e-08               0.0         19.890714
    "BPM.21L5.B1"       9215.486748                 1   0.0268217234424 1.48323969742e-08               0.0       20.02685381
    "BPM.20L5.B1"       9268.935264                 1   0.0349418302545 1.48323969742e-08               0.0       20.14068354
    "BPM.19L5.B1"       9322.383779                 1   0.0420095620212 1.48323969742e-08               0.0       20.27683239
    "BPM.18L5.B1"       9375.832295                 1   0.0976496449576 1.48323969742e-08               0.0       20.39066543
    "BPM.17L5.B1"       9429.280811                 1   0.0467529729121 1.48323969742e-08               0.0       20.52680524
    "BPM.16L5.B1"       9482.729327                 1    0.149709171541 1.48323969742e-08               0.0       20.64063497
    "BPM.15L5.B1"       9536.177843                 1   0.0614360755576 1.48323969742e-08               0.0       20.77678382
    "BPM.14L5.B1"       9589.626359                 1  -0.0762507018879 1.48323969742e-08               0.0       20.89061687
    "BPM.13L5.B1"       9643.074875                 1   -0.137807550364 1.48323969742e-08               0.0       21.02675668
    "BPM.12L5.B1"       9696.523391                 1    0.259190606688 1.48323969742e-08               0.0       21.13341341
    "BPM.11L5.B1"       9749.971907                 1  -0.0962598495848 1.48323969742e-08               0.0       21.26095278
    "BPM.10L5.B1"       9802.752617                 1    0.211319204606 1.48323969742e-08               0.0       21.34475036
     "BPM.9L5.B1"       9841.817628                 1   -0.144056252755 1.48323969742e-08               0.0       21.40603613
     "BPM.8L5.B1"       9882.280639                 1    0.460071732223 1.48323969742e-08               0.0       21.53265896
    "BPMR.7L5.B1"       9921.346649                 1    0.100573704394 1.48323969742e-08               0.0        21.7978012
     "BPM.6L5.B1"       9958.240649                 1   -0.346442376461 1.48323969742e-08               0.0       21.92741913
    "BPMR.5L5.B1"       9990.140649                 1   -0.186263175712 1.48323969742e-08               0.0       22.23328728
   "BPMYA.4L5.B1"       10017.54665                 1   -0.195902050741 1.48323969742e-08               0.0       22.25380832
   "BPMWB.4L5.B1"       10038.68115                 1   -0.167358272783 1.48323969742e-08               0.0       22.26004595
   "BPMSY.4L5.B1"       10131.46115                 1   -0.449739006942 1.48323969742e-08               0.0       22.26724363
    "BPMS.2L5.B1"       10158.24665                 1    -1.15674229637 1.48323969742e-08               0.0       22.26890073
   "BPMSW.1L5.B1"       10168.21165                 1    0.754840334006 1.48323969742e-08               0.0       22.26997571
   "BPMSW.1R5.B1"       10211.33965                 1    0.474820840288 1.48323969742e-08               0.0       22.76407165
    "BPMS.2R5.B1"       10221.30465                 1     3.09814482121 1.48323969742e-08               0.0       22.76490831
   "BPMSY.4R5.B1"       10248.09015                 1     0.23229488832 1.48323969742e-08               0.0       22.76605049
   "BPMWB.4R5.B1"       10340.87015                 1    0.541828678874 1.48323969742e-08               0.0       22.77422027
   "BPMYA.4R5.B1"       10362.00265                 1    0.726125413945 1.48323969742e-08               0.0       22.77702284
     "BPM.5R5.B1"       10383.12065                 1    0.136806870992 1.48323969742e-08               0.0       22.78140701
    "BPMR.6R5.B1"       10415.02065                 1    0.114201696535 1.48323969742e-08               0.0       22.79688794
   "BPM_A.7R5.B1"       10449.03465                 1   -0.519718896406 1.48323969742e-08               0.0       22.88362654
     "BPM.8R5.B1"       10490.47364                 1     0.18572888765 1.48323969742e-08               0.0       23.09302801
     "BPM.9R5.B1"       10529.54063                 1   -0.176128657283 1.48323969742e-08               0.0       23.17322829
    "BPM.10R5.B1"       10570.00562                 1   0.0275309361712 1.48323969742e-08               0.0       23.26437707
    "BPM.11R5.B1"       10622.78831                 1  -0.0509457076015 1.48323969742e-08               0.0       23.38103112
    "BPM.12R5.B1"       10677.51479                 1   0.0117676470439 1.48323969742e-08               0.0       23.52745829
    "BPM.13R5.B1"       10730.96627                 1    0.181656330752 1.48323969742e-08               0.0       23.64181628
    "BPM.14R5.B1"       10784.41776                 1    0.140167038241 1.48323969742e-08               0.0       23.77798319
    "BPM.15R5.B1"       10837.86924                 1   -0.248466636358 1.48323969742e-08               0.0       23.89181923
    "BPM.16R5.B1"       10891.32073                 1    0.160256876558 1.48323969742e-08               0.0        24.0279622
    "BPM.17R5.B1"       10944.77221                 1   -0.496529811121 1.48323969742e-08               0.0       24.14180437
    "BPM.18R5.B1"        10998.2237                 1    0.132682048902 1.48323969742e-08               0.0       24.27797067
    "BPM.19R5.B1"       11051.67518                 1   -0.205185764253 1.48323969742e-08               0.0       24.39180672
    "BPM.20R5.B1"       11105.12666                 1    0.133651253409 1.48323969742e-08               0.0       24.52794969
    "BPM.21R5.B1"       11158.57815                 1  -0.0947871727879 1.48323969742e-08               0.0       24.64179185
    "BPM.22R5.B1"       11212.02963                 1    0.252237343742 1.48323969742e-08               0.0       24.77795816
    "BPM.23R5.B1"       11265.48112                 1   -0.338625317077 1.48323969742e-08               0.0       24.89179919
    "BPM.24R5.B1"        11318.9326                 1   -0.209802915124 1.48323969742e-08               0.0       25.02794932
    "BPM.25R5.B1"       11372.38408                 1   -0.326302660071 1.48323969742e-08               0.0       25.14179185
    "BPM.26R5.B1"       11425.83557                 1  -0.0308045206515 1.48323969742e-08               0.0       25.27795816
    "BPM.27R5.B1"       11479.28705                 1    0.175137070246 1.48323969742e-08               0.0       25.39179919
    "BPM.28R5.B1"       11532.73854                 1   -0.220501150259 1.48323969742e-08               0.0       25.52794932
    "BPM.29R5.B1"       11586.19002                 1   -0.385368338662 1.48323969742e-08               0.0       25.64179185
    "BPM.30R5.B1"        11639.6415                 1    0.191558899058 1.48323969742e-08               0.0       25.77795816
    "BPM.31R5.B1"       11693.09299                 1  -0.0596416815909 1.48323969742e-08               0.0       25.89179919
    "BPM.32R5.B1"       11746.54447                 1  -0.0242118087136 1.48323969742e-08               0.0       26.02794932
    "BPM.33R5.B1"       11799.99596                 1      0.0763936154 1.48323969742e-08               0.0       26.14179185
    "BPM.34R5.B1"       11853.44744                 1   -0.206597331894 1.48323969742e-08               0.0       26.27795816
    "BPM.33L6.B1"       11906.89893                 1    0.328968470477 1.48323969742e-08               0.0       26.39179919
    "BPM.32L6.B1"       11960.35041                 1    -0.10171244463 1.48323969742e-08               0.0       26.52794932
    "BPM.31L6.B1"       12013.80189                 1    0.332301233955 1.48323969742e-08               0.0       26.64179185
    "BPM.30L6.B1"       12067.25338                 1    -0.17159730165 1.48323969742e-08               0.0       26.77795816
    "BPM.29L6.B1"       12120.70486                 1    0.312337991205 1.48323969742e-08               0.0       26.89179919
    "BPM.28L6.B1"       12174.15635                 1  -0.0317072380318 1.48323969742e-08               0.0       27.02794932
